"area_code","area_name","date","new_cases","total_cases"
"E09000010","Enfield",2020-03-10,5,9
"E09000011","Greenwich",2020-03-10,3,4
"E09000012","Hackney",2020-03-10,1,6
"E09000013","Hammersmith and Fulham",2020-03-10,3,9
"E09000014","Haringey",2020-03-10,3,6
"E09000015","Harrow",2020-03-10,1,7
"E09000016","Havering",2020-03-10,0,3
"E09000017","Hillingdon",2020-03-10,2,8
"E09000018","Hounslow",2020-03-10,2,6
"E09000019","Islington",2020-03-10,2,4
"E09000020","Kensington and Chelsea",2020-03-10,10,33
"E09000021","Kingston upon Thames",2020-03-10,0,2
"E09000022","Lambeth",2020-03-10,8,15
"E09000023","Lewisham",2020-03-10,1,4
"E09000024","Merton",2020-03-10,6,10
"E09000025","Newham",2020-03-10,1,2
"E09000026","Redbridge",2020-03-10,0,2
"E09000027","Richmond upon Thames",2020-03-10,0,2
"E09000028","Southwark",2020-03-10,6,24
"E09000029","Sutton",2020-03-10,2,6
"E09000030","Tower Hamlets",2020-03-10,2,10
"E09000031","Waltham Forest",2020-03-10,0,3
"E09000032","Wandsworth",2020-03-10,9,16
"E09000033","Westminster",2020-03-10,6,24
"E09000001","City of London",2020-03-11,0,0
"E09000002","Barking and Dagenham",2020-03-11,1,4
"E09000003","Barnet",2020-03-11,11,26
"E09000004","Bexley",2020-03-11,4,8
"E09000005","Brent",2020-03-11,10,20
"E09000006","Bromley",2020-03-11,5,10
"E09000007","Camden",2020-03-11,10,19
"E09000008","Croydon",2020-03-11,5,7
"E09000009","Ealing",2020-03-11,10,23
"E09000010","Enfield",2020-03-11,2,11
"E09000011","Greenwich",2020-03-11,4,8
"E09000012","Hackney",2020-03-11,8,14
"E09000013","Hammersmith and Fulham",2020-03-11,11,20
"E09000014","Haringey",2020-03-11,6,12
"E09000015","Harrow",2020-03-11,5,12
"E09000016","Havering",2020-03-11,2,5
"E09000017","Hillingdon",2020-03-11,2,10
"E09000018","Hounslow",2020-03-11,6,12
"E09000019","Islington",2020-03-11,2,6
"E09000020","Kensington and Chelsea",2020-03-11,10,43
"E09000021","Kingston upon Thames",2020-03-11,1,3
"E09000022","Lambeth",2020-03-11,14,29
"E09000023","Lewisham",2020-03-11,5,9
"E09000024","Merton",2020-03-11,7,17
"E09000025","Newham",2020-03-11,3,5
"E09000026","Redbridge",2020-03-11,0,2
"E09000027","Richmond upon Thames",2020-03-11,1,3
"E09000028","Southwark",2020-03-11,11,35
"E09000029","Sutton",2020-03-11,0,6
"E09000030","Tower Hamlets",2020-03-11,1,11
"E09000031","Waltham Forest",2020-03-11,2,5
"E09000032","Wandsworth",2020-03-11,10,26
"E09000033","Westminster",2020-03-11,14,38
"E09000001","City of London",2020-03-12,0,0
"E09000002","Barking and Dagenham",2020-03-12,4,8
"E09000003","Barnet",2020-03-12,5,31
"E09000004","Bexley",2020-03-12,5,13
"E09000005","Brent",2020-03-12,9,29
"E09000006","Bromley",2020-03-12,6,16
"E09000007","Camden",2020-03-12,5,24
"E09000008","Croydon",2020-03-12,8,15
"E09000009","Ealing",2020-03-12,3,26
"E09000010","Enfield",2020-03-12,6,17
"E09000011","Greenwich",2020-03-12,6,14
"E09000012","Hackney",2020-03-12,6,20
"E09000013","Hammersmith and Fulham",2020-03-12,1,21
"E09000014","Haringey",2020-03-12,7,19
"E09000015","Harrow",2020-03-12,8,20
"E09000016","Havering",2020-03-12,1,6
"E09000017","Hillingdon",2020-03-12,4,14
"E09000018","Hounslow",2020-03-12,1,13
"E09000019","Islington",2020-03-12,10,16
"E09000020","Kensington and Chelsea",2020-03-12,6,49
"E09000021","Kingston upon Thames",2020-03-12,1,4
"E09000022","Lambeth",2020-03-12,4,33
"E09000023","Lewisham",2020-03-12,9,18
"E09000024","Merton",2020-03-12,3,20
"E09000025","Newham",2020-03-12,2,7
"E09000026","Redbridge",2020-03-12,0,2
"E09000027","Richmond upon Thames",2020-03-12,1,4
"E09000028","Southwark",2020-03-12,10,45
"E09000029","Sutton",2020-03-12,2,8
"E09000030","Tower Hamlets",2020-03-12,5,16
"E09000031","Waltham Forest",2020-03-12,1,6
